U+0967A	U+096AA
U+09686	U+0F9DC
U+0968F	U+096A8
U+096A0	U+096B1
U+096A3	U+09130
U+096B2	U+09A2D
U+096B4	U+28EEB
U+096B7	U+096B8
U+096C4	U+049FA
U+096CB	U+096BD
U+096DB	U+09DB5
U+096E3	U+0FA68
U+0970A	U+09748
U+09759	U+0975C
U+097EE	U+097ED
U+097F2	U+09F4F
U+097FB	U+097F5
U+097FF	U+0FA69
U+0981A	U+09838
U+09824	U+09825
U+0982C	U+09830
U+0983B	U+0FA6A
U+0983C	U+08CF4
U+09854	U+0984F
U+09855	U+0986F
U+0985B	U+0985A
U+0985E	U+0F9D0
U+098A8	U+051EE
U+098C4	U+098C3
U+098E0	U+2967F
U+098E7	U+098F1
U+098F2	U+098EE
U+098FE	U+0991D
U+09905	U+09920
U+0991E	U+04B3B
U+09928	U+08218
U+09952	U+29719
U+099C5	U+09A5B
U+099DD	U+099DE
U+09A12	U+09A37
U+09A13	U+09A57
U+09A28	U+09A52
U+09A62	U+099BF
U+09AEA	U+09AEE
U+09AEF	U+09AE5
U+09BF5	U+09C3A
U+09C1B	U+09C2E
U+09C32	U+09F07
U+09C6A	U+09C70
U+09C78	U+09B72
U+09CEC	U+09CE7
U+09D0E	U+09DD7
U+09D1F	U+09D44
U+09D2C	U+09DAF
U+09D5E	U+09D5D
U+09D87	U+09DAB
U+09DC0	U+09DBF
U+09DC6	U+09DCF
U+09E78	U+09E7C
U+09E7F	U+22218
U+09EA6	U+09EA5
U+09EB8	U+09EA9
U+09EB9	U+09EB4
U+09EBC	U+09EBD
U+09EC4	U+09EC3
U+09ED2	U+09ED1
U+09ED9	U+09ED8
U+09F13	U+076B7
U+09F20	U+09F21
U+09F54	U+09F53
U+09F5F	U+2A5F1
U+09F62	U+09F61
U+09F6C	U+2A61A
U+0FA49	U+0722B
U+0FA66	U+08FB6
U+053A9	U+05ECF	U+05ED0
U+06804	U+069AE	U+08363
U+07B87	U+04E2A	U+030F6
U+0754C	U+0754D	U+0583A
U+06982	U+069E9	U+069EA
U+084CB	U+08462	U+076D6
U+05B66	U+05B78	U+06588
U+06F5F	U+07009	U+06CFB
U+09451	U+09452	U+09373
U+05DCC	U+05DD6	U+05DD7
U+05CA9	U+05D52	U+05D53
U+096C1	U+09D08	U+09CEB
U+0559C	U+06199	U+03402
U+05668	U+05650	U+0FA38
U+05E30	U+06B78	U+07688
U+06C17	U+06C23	U+06C14
U+06319	U+064E7	U+08209
U+0865A	U+08657	U+0865B
U+099C6	U+09A45	U+099C8
U+05F84	U+09015	U+05F91
U+0643A	U+0651C	U+064D5
U+06B20	U+07F3A	U+07F3C
U+07A3F	U+07A3E	U+085C1
U+056FD	U+0570B	U+05700
U+051B4	U+051B1	U+06C8D
U+096D1	U+096DC	U+0894D
U+07BE0	U+07B71	U+07B7F
U+0854A	U+0854B	U+08602
U+05199	U+05BEB	U+051A9
U+0716E	U+07151	U+0FA48
U+05F93	U+05F9E	U+04ECE
U+06E0B	U+06F80	U+06F81
U+053D9	U+06558	U+0654D
U+05968	U+0734E	U+0596C
U+0677E	U+067A9	U+067D7
U+079F0	U+07A31	U+07A6A
U+0976D	U+09771	U+0976B
U+09AC4	U+09AD3	U+081B8
U+06589	U+09F4A	U+0658A
U+08DE1	U+08FF9	U+08E5F
U+06F5C	U+06FF3	U+06F5B
U+07E4A	U+07E96	U+07E8E
U+09061	U+06EAF	U+06CDD
U+0633F	U+063D2	U+063F7
U+08061	U+08070	U+08066
U+053F0	U+081FA	U+04453
U+0732A	U+08C6C	U+0FA16
U+05E81	U+05EF3	U+05EF0
U+095D8	U+09B2A	U+09B2D
U+05F10	U+08CB3	U+08CAE
U+06885	U+06973	U+0FA44
U+06D5C	U+06FF1	U+06FF5
U+06DF5	U+06E0A	U+06E15
U+08FBA	U+0908A	U+09089
U+08217	U+08216	U+092EA
U+05B9D	U+05BF6	U+05BF3
U+08C8C	U+07683	U+034B5
U+084D1	U+07C14	U+07C11
U+05A7F	U+0805F	U+058FB
U+09EBA	U+09EAA	U+09EB5
U+067F3	U+06801	U+0687A
U+06765	U+04F86	U+05FA0
U+06D99	U+06CEA	U+06DDA
U+06717	U+06716	U+0F929
U+05273	U+07B9A	U+05284
U+05C13	U+0723E	U+05C12
U+05E47	U+05E2E	U+05E6B
U+07018	U+06FFE	U+06CAA
U+0724B	U+07B8B	U+041F3
U+07544	U+07559	U+07571
U+0756D	U+0756C	U+07572
U+076B0	U+09764	U+075B1
U+081BE	U+09C60	U+0810D
U+081C8	U+081D8	U+0FA1F
U+09B2E	U+049B0	U+04C17
U+0769E	U+066AD	U+076A1
U+0974D	U+0974E	U+0974F
U+05869	U+09E7D	U+268EA
U+05EFB	U+2231E	U+05EFD
U+05CB8	U+037C1	U+21D9C
U+065E7	U+0820A	U+26F94
U+0571F	U+2123D	U+05721
U+06669	U+0665A	U+231B6
U+091CE	U+057DC	U+2131B
U+08107	U+266B0	U+043EE
U+05DA2	U+05DA4	U+21E33
U+08202	U+03AEA	U+231C3
U+06FF6	U+095CA	U+24103
U+09F67	U+056D3	U+2A602
U+034C1	U+26270	U+07F52
U+07114	U+07130	U+03DD4	U+07196
U+079CB	U+09F9D	U+07A50	U+079CC
U+07573	U+0758A	U+07582	U+07589
U+04F53	U+08EC6	U+08EB0	U+09AD4
U+09244	U+09421	U+09295	U+09435
U+05CF6	U+05D8C	U+05D8B	U+03800
U+085AE	U+07C54	U+085EA	U+04264
U+07F88	U+0898A	U+07F87	U+08989
U+098C6	U+098C8	U+098B7	U+098C7
U+0FA5D	U+0FA5E	U+08279	U+04491
U+06E13	U+08C3F	U+06EAA	U+27BBE
U+09D8F	U+09DC4	U+096DE	U+28FF8
U+05FB3	U+060B3	U+05FB7	U+226F3
U+06803	U+06764	U+2371C	U+06AD4
U+07AC8	U+07AC3	U+259C4	U+041B4
U+0852D	U+26E65	U+28F32	U+04543
U+05F01	U+08FA7	U+08FAF	U+08FA8	U+074E3
U+07155	U+07188	U+07199	U+051DE	U+0FA15
U+0755D	U+07546	U+03F57	U+24C16	U+07552
U+05263	U+0528D	U+05294	U+091FC	U+05292	U+05271	U+2074F
U+05D0E	U+05D5C	U+057FC	U+07895	U+037E2	U+0FA11	U+2550E
