# 第一批異体字整理表（一異表）
yyb/variant,<rev>,yyb/regular
虜[田],yyb/variant,虜[毌]
駡,yyb/variant,罵
駡,yyb/variant,傌
麻,yyb/variant,蔴
蟆,yyb/variant,蟇
脉,yyb/variant,脈
脉,yyb/variant,衇
脉,yyb/variant,䘑
虻,yyb/variant,蝱
冒,yyb/variant,冐
帽,yyb/variant,㡌
卯,yyb/variant,夘
卯,yyb/variant,戼
猫,yyb/variant,貓
牦,yyb/variant,犛
牦,yyb/variant,氂
梅,yyb/variant,楳
梅,yyb/variant,槑
幂,yyb/variant,冪
眯,yyb/variant,瞇
覓,yyb/variant,覔
綿,yyb/variant,緜
麵,yyb/variant,麪
眇,yyb/variant,𦕈
渺,yyb/variant,𣺌
渺,yyb/variant,淼
妙,yyb/variant,玅
咩,yyb/variant,𠴟
咩,yyb/variant,哶
泯,yyb/variant,冺
命,yyb/variant,𠇮
冥,yyb/variant,㝠
冥,yyb/variant,𠖇
饃,yyb/variant,饝
謨,yyb/variant,謩
幕,yyb/variant,幙
畝,yyb/variant,𤰜
畝,yyb/variant,畮
畝,yyb/variant,畆
畝,yyb/variant,𤱈
畝,yyb/variant,畂
拿,yyb/variant,㧱
拿,yyb/variant,拏
拿,yyb/variant,挐
奶,yyb/variant,嬭
奶,yyb/variant,妳
乃,yyb/variant,迺
乃,yyb/variant,廼
楠,yyb/variant,枏
楠,yyb/variant,柟
鬧,yyb/variant,閙
嫩,yyb/variant,嫰
霓,yyb/variant,蜺
你,yyb/variant,妳
昵,yyb/variant,暱
擬,yyb/variant,儗
拈,yyb/variant,撚
念,yyb/variant,唸
年,yyb/variant,秊
娘,yyb/variant,孃
裊,yyb/variant,嫋
裊,yyb/variant,嬝
裊,yyb/variant,褭
嚙,yyb/variant,齧
嚙,yyb/variant,囓
捏,yyb/variant,揑
涅,yyb/variant,湼
孽,yyb/variant,孼
寧,yyb/variant,寕
寧,yyb/variant,寗
農,yyb/variant,辳
衄,yyb/variant,衂
衄,yyb/variant,䶊
暖,yyb/variant,煖
暖,yyb/variant,㬉
暖,yyb/variant,煗
糯,yyb/variant,穤
糯,yyb/variant,稬
挪,yyb/variant,挼
挪,yyb/variant,捼
疱,yyb/variant,皰
炮,yyb/variant,砲
炮,yyb/variant,礮
胚,yyb/variant,肧
碰,yyb/variant,掽
碰,yyb/variant,踫
毗,yyb/variant,毘
匹,yyb/variant,疋
飄,yyb/variant,飃
憑,yyb/variant,凴
瓶,yyb/variant,缾
迫,yyb/variant,廹
鋪,yyb/variant,舖
戚,yyb/variant,慼
戚,yyb/variant,慽
啓,yyb/variant,啟
啓,yyb/variant,唘
棋,yyb/variant,碁
棋,yyb/variant,棊
栖,yyb/variant,棲
凄,yyb/variant,淒
凄,yyb/variant,悽
旗,yyb/variant,旂
弃,yyb/variant,棄
憩,yyb/variant,憇
鉛,yyb/variant,鈆
潜,yyb/variant,潛
愆,yyb/variant,諐
强,yyb/variant,彊
强,yyb/variant,強
襁,yyb/variant,繦
墻,yyb/variant,牆
檣,yyb/variant,艢
羌,yyb/variant,𦍑
羌,yyb/variant,羗
槍,yyb/variant,鎗
憔,yyb/variant,顦
憔,yyb/variant,癄
蹺,yyb/variant,蹻
峭,yyb/variant,陗
蕎,yyb/variant,荍
鍬,yyb/variant,鍫
愜,yyb/variant,㥦
寢,yyb/variant,寑
勤,yyb/variant,懃
琴,yyb/variant,琹
撳,yyb/variant,搇
丘,yyb/variant,坵
虬,yyb/variant,虯
秋,yyb/variant,秌
