# 部品の相対位置の違いによる異体字
kdp/variant/positional,<rev>,kdp/variant/positional
𣳫,kdp/variant/positional,𣵭
𣶬,kdp/variant/positional,𣷉
𣶾,kdp/variant/positional,𣶠
𣻅,kdp/variant/positional,𪶼
𣽁,kdp/variant/positional,𣾞
𤆄,kdp/variant/positional,𤆈
𤆦,kdp/variant/positional,𪻓
𤇯,kdp/variant/positional,𤇷
𤉅,kdp/variant/positional,𤉙
𤉓,kdp/variant/positional,𤉕
𤉹,kdp/variant/positional,𤉨
𤉺,kdp/variant/positional,𤊮
𤎨,kdp/variant/positional,𤏰
𤎩,kdp/variant/positional,𤏢
𤎶,kdp/variant/positional,𤏜
𤑋,kdp/variant/positional,𤐥
𤒦,kdp/variant/positional,𤒥
𤔛,kdp/variant/positional,𪺐
𤔽,kdp/variant/positional,𤔾
𤕫,kdp/variant/positional,𤕬
𤖕,kdp/variant/positional,𨡓
𤘡,kdp/variant/positional,𤘨
𤘢,kdp/variant/positional,𤘮
𤚲,kdp/variant/positional,𤛓
𤚷,kdp/variant/positional,𪟷
𤚻,kdp/variant/positional,𤛈
𤚼,kdp/variant/positional,𤚲
𤥔,kdp/variant/positional,㓘
𤧛,kdp/variant/positional,𪼀
𤩤,kdp/variant/positional,𣤦
𤫿,kdp/variant/positional,𤬀
𤬍,kdp/variant/positional,𤬔
𤬛,kdp/variant/positional,𤬜
𤬯,kdp/variant/positional,𤬰
𤬷,kdp/variant/positional,𤬼
𤭁,kdp/variant/positional,𤭆
𤭣,kdp/variant/positional,𤭦
𤭹,kdp/variant/positional,𤮃
𤮳,kdp/variant/positional,𤮴
𤮾,kdp/variant/positional,𤮿
𤯇,kdp/variant/positional,𤊼
𤯨,kdp/variant/positional,𤯩
𤯰,kdp/variant/positional,𪽅
𤯻,kdp/variant/positional,𤯾
𤰙,kdp/variant/positional,𤰚
𤰙,kdp/variant/positional,𪽇
𤰚,kdp/variant/positional,𪽇
𤱨,kdp/variant/positional,𤱺
𤳆,kdp/variant/positional,𤳇
𤳖,kdp/variant/positional,𤳗
𤳖,kdp/variant/positional,𤳛
𤳗,kdp/variant/positional,𤳛
𤽹,kdp/variant/positional,𤾁
𤾆,kdp/variant/positional,𤾇
𤾭,kdp/variant/positional,𤾳
𤿈,kdp/variant/positional,𤿉
𤿏,kdp/variant/positional,𤿒
𤿖,kdp/variant/positional,𤿗
𤿛,kdp/variant/positional,𤿞
𤿦,kdp/variant/positional,𪤻
𤿬,kdp/variant/positional,𤿰
𥀜,kdp/variant/positional,𥀚
𥀫,kdp/variant/positional,𥀭
𥃚,kdp/variant/positional,𥃛
𥄪,kdp/variant/positional,𥄬
𥅍,kdp/variant/positional,𪾧
𥅛,kdp/variant/positional,𥅜
𥅝,kdp/variant/positional,𥅳
𥅮,kdp/variant/positional,𥆁
𥇇,kdp/variant/positional,𥆝
𥇛,kdp/variant/positional,𥈀
𥇿,kdp/variant/positional,𥇙
𥈃,kdp/variant/positional,𥈟
𥈩,kdp/variant/positional,𥈄
𥈼,kdp/variant/positional,𥉟
𥉠,kdp/variant/positional,𥊦
𥉩,kdp/variant/positional,𥉫
𥉴,kdp/variant/positional,𪾺
𥊍,kdp/variant/positional,𥊝
𥊢,kdp/variant/positional,𥊣
𥊨,kdp/variant/positional,𣛒
𥏋,kdp/variant/positional,𥏌
𥐄,kdp/variant/positional,𥐅
𥐇,kdp/variant/positional,𥐉
𥓙,kdp/variant/positional,碄
𥓫,kdp/variant/positional,𥓬
𥔉,kdp/variant/positional,𥔑
𥔳,kdp/variant/positional,𥔼
𥕲,kdp/variant/positional,𥕳
𥖓,kdp/variant/positional,𥖕
𥗭,kdp/variant/positional,𥗱
𥞄,kdp/variant/positional,𤖱
𥟿,kdp/variant/positional,𥠨
𥠻,kdp/variant/positional,𥡞
𥡡,kdp/variant/positional,𥡸
𥢅,kdp/variant/positional,𥢆
𥢅,kdp/variant/positional,𫁅
𥢆,kdp/variant/positional,𫁅
𥤾,kdp/variant/positional,𥥅
𥩴,kdp/variant/positional,𫞼
𥪾,kdp/variant/positional,𧷯
𥰅,kdp/variant/positional,𥲂
𥹹,kdp/variant/positional,𡲸
𥺏,kdp/variant/positional,𥺔
𥺘,kdp/variant/positional,𥺟
𥺤,kdp/variant/positional,𥺱
𥼹,kdp/variant/positional,𥽂
𥾩,kdp/variant/positional,𥾵
𥿽,kdp/variant/positional,𦀀
𦀛,kdp/variant/positional,𦀟
𦁎,kdp/variant/positional,𦁬
𦃍,kdp/variant/positional,𦅳
𦄼,kdp/variant/positional,𦅓
𦅓,kdp/variant/positional,𦅨
𦉢,kdp/variant/positional,𦉣
𦉸,kdp/variant/positional,𦉽
𦍋,kdp/variant/positional,芈
𦎯,kdp/variant/positional,𦎼
𦏚,kdp/variant/positional,𢐽
𦏸,kdp/variant/positional,𦐁
𦏺,kdp/variant/positional,𦏼
𦐅,kdp/variant/positional,𦐏
𦐍,kdp/variant/positional,𦐋
𦐞,kdp/variant/positional,𦐕
𦐣,kdp/variant/positional,𦐨
𦑁,kdp/variant/positional,𦑂
𦑃,kdp/variant/positional,𫅩
𦑈,kdp/variant/positional,𦑯
𦑊,kdp/variant/positional,𦑖
𦑌,kdp/variant/positional,𦑍
𦑞,kdp/variant/positional,𦑭
𦑣,kdp/variant/positional,𦑪
𦑶,kdp/variant/positional,𦑲
𦑺,kdp/variant/positional,𦒁
𦒑,kdp/variant/positional,𦒔
𦒦,kdp/variant/positional,𦒩
𦓅,kdp/variant/positional,𫅷
𦓏,kdp/variant/positional,𦓑
𦓓,kdp/variant/positional,𤭃
𦕈,kdp/variant/positional,𦕉
𦖗,kdp/variant/positional,𫆇
𦖷,kdp/variant/positional,𦖻
𦗚,kdp/variant/positional,𦗝
𦗹,kdp/variant/positional,𦗼
𦙄,kdp/variant/positional,𦙞
𦙯,kdp/variant/positional,𫆛
𦙼,kdp/variant/positional,𦚚
𦜋,kdp/variant/positional,𦜗
𦝄,kdp/variant/positional,𫆢
𦝶,kdp/variant/positional,𦞄
𦟽,kdp/variant/positional,𫆴
𦠑,kdp/variant/positional,𦠒
𦠰,kdp/variant/positional,𫆶
𦣋,kdp/variant/positional,𦣏
𦤄,kdp/variant/positional,𦤅
𦤦,kdp/variant/positional,𦤪
𦧈,kdp/variant/positional,𦧎
𦧟,kdp/variant/positional,𦧥
𦧧,kdp/variant/positional,𦧪
𦧫,kdp/variant/positional,𦧬
𦧰,kdp/variant/positional,𦧯
𦨬,kdp/variant/positional,𦨤
𦩉,kdp/variant/positional,𦩈
𦪢,kdp/variant/positional,𦪣
𦹯,kdp/variant/positional,𦹵
𦾽,kdp/variant/positional,𦿚
𧁷,kdp/variant/positional,𧁹
𧂘,kdp/variant/positional,𧃱
𧂣,kdp/variant/positional,𦾫
𧆦,kdp/variant/positional,𧆫
𧆬,kdp/variant/positional,𧆟
𧆽,kdp/variant/positional,𤽾
𧇥,kdp/variant/positional,𧇨
𧈈,kdp/variant/positional,𧈊
𧈑,kdp/variant/positional,𧈖
𧈑,kdp/variant/positional,𧈗
𧈖,kdp/variant/positional,𧈗
𧈣,kdp/variant/positional,𧈦
𧈫,kdp/variant/positional,𧈬
𧉀,kdp/variant/positional,𧉘
𧉪,kdp/variant/positional,𧊀
𧉬,kdp/variant/positional,𧊈
𧋈,kdp/variant/positional,𧳃
𧌓,kdp/variant/positional,𧌛
𧌨,kdp/variant/positional,𧎀
𧍅,kdp/variant/positional,𧍇
𧍢,kdp/variant/positional,𧎘
𧍲,kdp/variant/positional,𧍻
𧍷,kdp/variant/positional,𧍗
𧎵,kdp/variant/positional,𧏨
𧏚,kdp/variant/positional,螜
𧐆,kdp/variant/positional,𧑂
𧐙,kdp/variant/positional,𧎻
𧐝,kdp/variant/positional,𧐵
𧑄,kdp/variant/positional,𧑸
𧑓,kdp/variant/positional,𧒁
𧑭,kdp/variant/positional,𧑱
𧒌,kdp/variant/positional,𧒍
𧒽,kdp/variant/positional,𧒜
𧕤,kdp/variant/positional,𧕥
𧕲,kdp/variant/positional,𧕣
𧖰,kdp/variant/positional,𧖱
𧗒,kdp/variant/positional,𧗓
𧘒,kdp/variant/positional,𧘙
𧘚,kdp/variant/positional,𧘎
𧙩,kdp/variant/positional,𧙷
𧛞,kdp/variant/positional,𧛫
𧠘,kdp/variant/positional,𧠙
𧠭,kdp/variant/positional,𧠷
𧠮,kdp/variant/positional,𠺐
𧡊,kdp/variant/positional,𫌠
𧡷,kdp/variant/positional,𧡾
𧢒,kdp/variant/positional,𧢓
𧢫,kdp/variant/positional,𧢦
𧣈,kdp/variant/positional,𧢻
𧣡,kdp/variant/positional,𧣣
𧤁,kdp/variant/positional,𧤂
𧥙,kdp/variant/positional,𣁀
𧥝,kdp/variant/positional,𧥟
𧥲,kdp/variant/positional,𧦍
𧦔,kdp/variant/positional,𧦕
𧦔,kdp/variant/positional,𪞴
𧦕,kdp/variant/positional,𪞴
𧦤,kdp/variant/positional,𧦲
𧧟,kdp/variant/positional,𧧬
𧪘,kdp/variant/positional,𧪰
𧪜,kdp/variant/positional,𧫋
𧪵,kdp/variant/positional,𧫏
𧬊,kdp/variant/positional,𧬜
𧲍,kdp/variant/positional,𧲎
𧵑,kdp/variant/positional,𧵎
𧶇,kdp/variant/positional,𫎘
𧸿,kdp/variant/positional,𧸹
𧹙,kdp/variant/positional,𧹚
𧹨,kdp/variant/positional,𫎯
𧺀,kdp/variant/positional,𧺁
𧺂,kdp/variant/positional,𧺃
𧽇,kdp/variant/positional,𧽈
𨂝,kdp/variant/positional,𨂞
𨇛,kdp/variant/positional,𨇜
𨊃,kdp/variant/positional,𨊄
𨌽,kdp/variant/positional,𨌾
𨍦,kdp/variant/positional,𫏻
𨎋,kdp/variant/positional,𨎖
𨎠,kdp/variant/positional,𫏾
𨏶,kdp/variant/positional,𨏷
𨕛,kdp/variant/positional,𨔥
𨗭,kdp/variant/positional,𨖽
𨙸,kdp/variant/positional,𨸠
𨙾,kdp/variant/positional,𢻌
𨚒,kdp/variant/positional,𨚈
𨚼,kdp/variant/positional,𨚺
𨛗,kdp/variant/positional,𨹝
𨞧,kdp/variant/positional,𨽃
𨠆,kdp/variant/positional,𨠊
𨡎,kdp/variant/positional,𨡣
𨡘,kdp/variant/positional,𨡐
𨤇,kdp/variant/positional,𨤈
𨤧,kdp/variant/positional,𫒂
𨥓,kdp/variant/positional,𨥔
𨧳,kdp/variant/positional,𨨪
𨨑,kdp/variant/positional,𨨛
𨨮,kdp/variant/positional,𨧮
𨩇,kdp/variant/positional,𨩧
𨩒,kdp/variant/positional,𨩓
𨭏,kdp/variant/positional,𨭒
𨮔,kdp/variant/positional,𨮖
𨲢,kdp/variant/positional,𨲣
𨳰,kdp/variant/positional,𨳱
𨵣,kdp/variant/positional,𫔸
𨷯,kdp/variant/positional,𨷶
𨹌,kdp/variant/positional,𨛇
𨻂,kdp/variant/positional,𫑦
𨾈,kdp/variant/positional,𨾋
𨾬,kdp/variant/positional,𨾭
𨿂,kdp/variant/positional,𨿃
𨿕,kdp/variant/positional,𨿛
𨿘,kdp/variant/positional,𨿝
𩀨,kdp/variant/positional,𩀰
𩆂,kdp/variant/positional,𩆃
𩆢,kdp/variant/positional,𩑆
𩇛,kdp/variant/positional,𫕹
𩇾,kdp/variant/positional,𩈀
𩈘,kdp/variant/positional,𫖀
𩈩,kdp/variant/positional,𫖂
𩉂,kdp/variant/positional,𩉇
𩉗,kdp/variant/positional,𩉘
𩌊,kdp/variant/positional,𩌥
𩌹,kdp/variant/positional,𩌺
𩎌,kdp/variant/positional,𩎍
𩎛,kdp/variant/positional,𩎡
𩒀,kdp/variant/positional,𩒈
𩓠,kdp/variant/positional,𩓸
𩔹,kdp/variant/positional,𩔾
𩕶,kdp/variant/positional,𩕼
𩖣,kdp/variant/positional,𩖰
𩗬,kdp/variant/positional,𩘁
𩘅,kdp/variant/positional,𩘗
𩘑,kdp/variant/positional,𩘕
𩘨,kdp/variant/positional,𩘪
𩘩,kdp/variant/positional,𩘬
𩘻,kdp/variant/positional,𩙅
𩘼,kdp/variant/positional,𩙄
𩘽,kdp/variant/positional,𩙆
𩠕,kdp/variant/positional,𩠙
𩠝,kdp/variant/positional,𩠞
𩠢,kdp/variant/positional,𩠡
𩡐,kdp/variant/positional,𩡌
𩡰,kdp/variant/positional,𩡵
𩢑,kdp/variant/positional,𩢭
𩢗,kdp/variant/positional,𩢞
𩢮,kdp/variant/positional,䮌
𩢯,kdp/variant/positional,𩣈
𩢹,kdp/variant/positional,𩣅
𩣇,kdp/variant/positional,𩣐
𩣟,kdp/variant/positional,𩣠
𩣣,kdp/variant/positional,𩣨
𩣷,kdp/variant/positional,䮔
𩣹,kdp/variant/positional,𩤓
𩤌,kdp/variant/positional,𫘌
𩥂,kdp/variant/positional,𩥞
𩥅,kdp/variant/positional,𩥓
𩥎,kdp/variant/positional,𩥦
𩦔,kdp/variant/positional,𩦴
𩧘,kdp/variant/positional,𩧚
𩨸,kdp/variant/positional,𩨳
𩩁,kdp/variant/positional,𩩇
𩩦,kdp/variant/positional,𩩘
𩩪,kdp/variant/positional,𩩫
𩪋,kdp/variant/positional,𩪕
𩪗,kdp/variant/positional,𩪜
𩫐,kdp/variant/positional,𩫑
𩮵,kdp/variant/positional,𩮾
𩱿,kdp/variant/positional,𩲉
𩲏,kdp/variant/positional,𩲜
𩲳,kdp/variant/positional,𩲣
𩲺,kdp/variant/positional,𩳃
𩳘,kdp/variant/positional,𩳙
𩳴,kdp/variant/positional,𫙌
𩴱,kdp/variant/positional,𩴸
𩴻,kdp/variant/positional,𩴼
𩵀,kdp/variant/positional,𩵁
𩵀,kdp/variant/positional,𩵂
𩵁,kdp/variant/positional,𩵂
𩶧,kdp/variant/positional,𩶿
𩷗,kdp/variant/positional,𩷬
𩷿,kdp/variant/positional,𩸻
𩸇,kdp/variant/positional,𩸋
𩸇,kdp/variant/positional,𩸖
𩸋,kdp/variant/positional,𩸖
𩸧,kdp/variant/positional,𩸦
𩸩,kdp/variant/positional,𩸪
𩹾,kdp/variant/positional,𩺈
𩺓,kdp/variant/positional,𩺪
𩺯,kdp/variant/positional,𩻀
𩻜,kdp/variant/positional,𩻿
𩼎,kdp/variant/positional,𩼢
𩼷,kdp/variant/positional,𩼸
𩾔,kdp/variant/positional,𩾙
𩿝,kdp/variant/positional,𪀏
𩿟,kdp/variant/positional,𩿹
𩿠,kdp/variant/positional,𩿰
𩿼,kdp/variant/positional,𪀌
𪀄,kdp/variant/positional,𫚳
𪀓,kdp/variant/positional,𪀩
𪀚,kdp/variant/positional,𪀵
𪀠,kdp/variant/positional,𪀽
𪀦,kdp/variant/positional,𪀸
𪀮,kdp/variant/positional,𫚻
𪀿,kdp/variant/positional,𪀳
𪁀,kdp/variant/positional,𪀴
𪁒,kdp/variant/positional,𪁪
𪁗,kdp/variant/positional,𪁨
𪁷,kdp/variant/positional,𪂨
𪁹,kdp/variant/positional,𪂏
𪂀,kdp/variant/positional,𪂥
𪂑,kdp/variant/positional,𪂰
𪂞,kdp/variant/positional,𪁹
𪂞,kdp/variant/positional,𪂏
𪂪,kdp/variant/positional,𪂋
𪂮,kdp/variant/positional,𪂲
𪂮,kdp/variant/positional,𫛈
𪂲,kdp/variant/positional,𫛈
𪂵,kdp/variant/positional,𪂉
𪂹,kdp/variant/positional,𪃣
𪃐,kdp/variant/positional,𪃦
𪃐,kdp/variant/positional,𪃧
𪃙,kdp/variant/positional,𪃲
𪃦,kdp/variant/positional,𪃧
𪃼,kdp/variant/positional,𪄛
𪃿,kdp/variant/positional,𫛌
𪄻,kdp/variant/positional,𪆊
𪅖,kdp/variant/positional,𪄻
𪅖,kdp/variant/positional,𪆊
𪅦,kdp/variant/positional,𫛐
𪆁,kdp/variant/positional,𪆗
𪆃,kdp/variant/positional,𪆝
𪆥,kdp/variant/positional,𫛕
𪆫,kdp/variant/positional,𪆂
𪆯,kdp/variant/positional,𪇌
𪆹,kdp/variant/positional,𪇍
𪆽,kdp/variant/positional,𪆬
𪇳,kdp/variant/positional,𪈁
𪈐,kdp/variant/positional,𪈎
𪈚,kdp/variant/positional,𪈫
𪈟,kdp/variant/positional,𪈙
𪈨,kdp/variant/positional,𪈬
𪉥,kdp/variant/positional,𫜈
𪊭,kdp/variant/positional,𪊱
𪊲,kdp/variant/positional,𫜍
𪋏,kdp/variant/positional,𪋑
𪍓,kdp/variant/positional,𪍘
𪍢,kdp/variant/positional,𪍠
𪍽,kdp/variant/positional,𪍻
𪎥,kdp/variant/positional,𪎧
𪐕,kdp/variant/positional,𤯒
𪒀,kdp/variant/positional,𪒋
𪓟,kdp/variant/positional,𪓞
𪓰,kdp/variant/positional,𪓵
𪔳,kdp/variant/positional,𪔴
𪕊,kdp/variant/positional,𪕑
𪕓,kdp/variant/positional,𪕗
𪕚,kdp/variant/positional,𪕢
𪕱,kdp/variant/positional,𪕮
𪕷,kdp/variant/positional,𪕸
𪖡,kdp/variant/positional,𪖤
𪖣,kdp/variant/positional,䶍
𪖥,kdp/variant/positional,𪖪
𪖫,kdp/variant/positional,𪖬
𪗭,kdp/variant/positional,𪗵
𪘓,kdp/variant/positional,𪘡
𪘩,kdp/variant/positional,𪘭
𪙆,kdp/variant/positional,𪙇
𪙑,kdp/variant/positional,𪙌
𪙸,kdp/variant/positional,𪙼
𪚁,kdp/variant/positional,𪚄
𪚭,kdp/variant/positional,𪚵
𪚮,kdp/variant/positional,𪚳
𪣡,kdp/variant/positional,𪶇
𪣶,kdp/variant/positional,𪣸
𪥊,kdp/variant/positional,𪥋
𪦤,kdp/variant/positional,𪦥
𪨭,kdp/variant/positional,𪨮
𪽍,kdp/variant/positional,𪽎
𫂮,kdp/variant/positional,𫍕
𫊬,kdp/variant/positional,𫊭
𫗁,kdp/variant/positional,𫗂
𫗃,kdp/variant/positional,𫗄
